Title,Github URL,Paper URL,Specific URL,Documentation,Dependencies,Special features,Entry Points (Scripts),Execution Command,External Credentials,Dataset Dependency,Terminate
MQT QECC,https://github.com/munich-quantum-toolkit/qecc,https://arxiv.org/abs/2504.10591,https://arxiv.org/pdf/2504.10591,README + CLI,14.0,"CLI cc-decoder with two backends (tensor-network tn and MaxSAT), supports hexagon and square-octagon lattices, runs Monte Carlo trials via --nr_sims, writes JSON results to --results_dir, and lets you plug in an external MaxSAT solver with --solver.",python -m mqt.qecc.cc_decoder.cli (Primary); mqt.qecc.cc-decoder,"PYTHONPATH=. python -m mqt.qecc.cc_decoder.cli --help (source: Docs “LightsOut decoder” → CLI help)
PYTHONPATH=. python -m mqt.qecc.cc_decoder.cli 21 0.01 --nr_sims 1000 --results_dir results (source: Docs “LightsOut decoder” → CLI usage)
PYTHONPATH=. python -m mqt.qecc.cc_decoder.cli 11 0.02 --decoder tn --nr_sims 200 (source: Docs “LightsOut decoder” → --decoder option)
PYTHONPATH=. python -m mqt.qecc.cc_decoder.cli 7 0.05 --solver /path/to/rc2 (source: Docs “LightsOut decoder” → --solver option)",,None (simulated experiments; writes results to directory),Yes
octgpt,https://github.com/octree-nn/octgpt,https://arxiv.org/abs/2504.09975,https://arxiv.org/pdf/2504.09975,README,8.0,Octree-based 3D tokenization with PyTorch pipeline; SDF sampling utility (tools/sample_sdf.py) for geometry-aware inputs; OBJ/PLY mesh ingestion via trimesh/plyfile; simple CLI runner (main_octgpt.py); YAML-driven configs; CPU-only path works; lightweight local preprocessing.,main_octgpt.py (Primary); tools/sample_sdf.py,"PYTHONPATH=. python main_octgpt.py --help (source: README)
PYTHONPATH=. python tools/sample_sdf.py --input path/to/mesh.obj --output out_dir (source: file path)
PYTHONPATH=. python main_octgpt.py --config configs/<your_config>.yaml (source: config-driven runner)",,User-provided meshes (OBJ/PLY); optional SDF generation output directory,Yes
TensorNEAT,https://github.com/EMI-Group/tensorneat,https://arxiv.org/abs/2504.08339,https://arxiv.org/pdf/2504.08339,Basic README + examples,15.0,"AX-native NEAT pipeline with vectorized/JIT evolution, deterministic PRNG seeding, modular genome/selection operators, built-in toy benchmarks (e.g., XOR3d), optional Brax/Gymnax env support, CPU-friendly with accelerator support when available.",examples/run_tensorneat_xor.py (Primary); examples/ (other demos),"PYTHONPATH=. JAX_PLATFORM_NAME=cpu python examples/run_tensorneat_xor.py (source: README → examples; file path)
PYTHONPATH=. JAX_PLATFORM_NAME=cpu python examples/run_tensorneat_xor.py --seed 0 --pop_size 64 --generations 50 (source: examples/run_tensorneat_xor.py)
PYTHONPATH=. python -c ""import tensorneat; print('import_ok')"" (source: package import check)",,None (toy tasks bundled; optional Brax/Gymnax environments if used),Yes
llm4ranking,https://github.com/liuqi6777/llm4ranking,https://arxiv.org/abs/2504.07439,https://arxiv.org/pdf/2504.07439,README,13.0,Instructional ranger; easy to replace HF encoders; plug-and-play with BM25/embeddings; CPU inference out of the box; fixed seed,main.py (Primary),"PYTHONPATH=. python main.py --help (source: README → usage)
PYTHONPATH=. python main.py --config configs/example.yaml --retriever bm25 --encoder sentence-transformers/all-MiniLM-L6-v2 (source: README → usage pattern)",None (Hugging Face token only if using gated models),First run may download model weights/datasets from Hugging Face; otherwise user-provided corpora,Yes
"building-assistance-game
",https://github.com/cassidylaidlaw/minecraft-building-assistance-game,https://arxiv.org/abs/2504.07091,https://arxiv.org/pdf/2504.07091,README,12.0,"CraftAssist-based game environment, ""builder assistant"" mode (language prompts → actions), RLlib integration (multi-process experience collection), ready-made scenarios/building schemes and success metrics",mbag/scripts/evaluate.py (Primary); mbag/scripts/train.py; mbag/scripts/evaluate_human_modeling.py,"pytest -m ""not uses_malmo and not slow"" (source: README → “Linting, testing, and type checking”)
PYTHONPATH=. python -m mbag.scripts.train with bc_human data_split=human_alone (source: README → “Running experiments”)
PYTHONPATH=. python -m mbag.scripts.evaluate with human_alone assistant_checkpoint=data/assistancezero_assistant/checkpoint_002000 num_simulations=1 (source: README → “Running assistants in Minecraft”)",,Optional craftassist.zip house dataset (auto-download via README commands) for training/eval; pure tests can run without Malmo/dataset,Yes
Agent-S,https://github.com/simular-ai/Agent-S,https://arxiv.org/abs/2504.00906,https://arxiv.org/pdf/2504.00906,README + examples,19.0,"GUI automation via Agent-Computer Interface (ACI); cross-platform (macOS/Windows/Linux); Python SDK/CLI; plugs into many LLM providers; supports grounding models (e.g., UI-TARS); strong OSWorld-Verified results; easy pip setup and presets.",main.py (Primary); examples/,"PYTHONPATH=. python main.py --help (source: README → CLI usage pattern)
PYTHONPATH=. python -c ""import importlib.util as iu; print('ok' if iu.spec_from_file_location('main','main.py') else 'missing')"" (source: repo layout)","Provider API keys as configured (e.g., OPENAI_API_KEY, ANTHROPIC_API_KEY) depending on chosen preset/model",,Yes
CrackSQL,https://github.com/weAIDB/CrackSQL,https://arxiv.org/abs/2504.00882,https://arxiv.org/pdf/2504.00882,README,13.0,"Hybrid SQL dialect translation with three modes (Rule-only, LLM-direct, Rule+LLM); rules built on SQLGlot/ANTLR with a function-oriented, local→global strategy for cross-dialect syntax; coverage for many dialects plus hybrid support for major RDBMS (PostgreSQL/MySQL/Oracle); multiple interfaces (Python API, CLI, Web UI) and optional GPT/HF backends.",app.py (Primary); cracksql/cli.py; cracksql (library import),"PYTHONPATH=. python app.py --help (source: README → Web UI)
PYTHONPATH=. python -m cracksql.cli --help (source: README → CLI)
PYTHONPATH=. python -c ""import cracksql; print('import_ok')"" (source: README → Python API)",Optional OPENAI_API_KEY / HUGGINGFACE_API_KEY for LLM modes,None (operates on user SQL strings; optional DB connection for Web/backend flow),Yes
xLAM,https://github.com/SalesforceAIResearch/xLAM,https://arxiv.org/abs/2503.22673,https://arxiv.org/pdf/2503.22673,README + ActionStudio_README.md,22.0,"Unified agent-trajectory schema with a generic dataloader; ActionStudio training recipes (full fine-tune, LoRA, distributed with Ray/DeepSpeed); xLAM models compatible with Hugging Face (Transformers/vLLM); tool-call parser plugin for function-calling and multi-turn agent demos; ready-to-use scripts and sample configs.",main.py (Primary); scripts/* (training/launchers),"PYTHONPATH=. python main.py --help (source: README → usage)
bash scripts/train_lora.sh (source: ActionStudio_README.md → training recipes)",Hugging Face token required if using gated model weights,User-provided/curated agent trajectories via unified schema; examples/configs may reference HF-hosted weights/data,Yes
TerraTorch,https://github.com/IBM/terratorch,https://arxiv.org/abs/2503.20563,https://arxiv.org/pdf/2503.20563,README + docs,21.0,"A set for fine-tuning geospatial FM: config/CLI pipelines (Hydra + PyTorch Lightning), integrations with TorchGeo/segmentation-models-pytorch/timm, GeoTIFF support via xarray/rioxarray/GeoPandas, ready-made recipes for classification/segmentation, experiment tracking in MLflow.",main.py (Primary),"PYTHONPATH=. python main.py --help (source: README → CLI patterns)
PYTHONPATH=. python main.py task=classification data.root=/path/to/geotiffs trainer.max_epochs=1 (source: Docs → Quickstart)
PYTHONPATH=. python main.py task=segmentation data.root=/path/to/geotiffs model.backbone=resnet34 trainer.max_epochs=1 (source: Docs → Tasks/Configs)",,User-provided geospatial rasters (GeoTIFF/COGs); some examples may download small open datasets,Yes
AgML,https://github.com/Project-AgML/AgML,https://arxiv.org/abs/2503.20068,https://arxiv.org/pdf/2503.20068,README + docs,12.0,"Unified API for agro-datasets (classification/detection/segmentation); ready-made loaders, markup/metadata and split management; utilities for downloading and normalizing annotations; integration with Albumentations/OpenCV/Scikit-learn; Jupyter widgets (ipywidgets) for fast interactive selection/preview.",agml (Primary); examples/,"PYTHONPATH=. python -c ""import agml; print('agml import OK:', hasattr(agml,'data'))"" (source: README → Quick Start import)
PYTHONPATH=. python -c ""import agml; print('datasets:', len(agml.data.public_data_sources()))"" (source: Docs → Public Dataset Listing)",,Auto-downloads public agricultural datasets on first use; can be multi-GB depending on selection,Yes
Halton-MaskGIT,https://github.com/valeoai/Halton-MaskGIT,https://arxiv.org/abs/2503.17076,https://arxiv.org/pdf/2503.17076,README,28.0,Drop-in Halton scheduler for MaskGIT; uniform token release (quasi-random) for quality/diversity improvement without overtraining.,halton_maskgit_infer.py (Primary); main.py,"PYTHONPATH=. python halton_maskgit_infer.py --help (source: file path)
PYTHONPATH=. python halton_maskgit_infer.py --config configs/example.yaml --ckpt_path /path/to/maskgit_checkpoint.pt --input_dir samples/ --output_dir out/ (source: README pattern + file path)
PYTHONPATH=. python main.py --config configs/train_example.yaml (source: file path)",,User-provided images and pretrained MaskGIT/VQ models; no fixed dataset auto-download,Yes
LLaVA-MORE,https://github.com/aimagelab/LLaVA-MORE,https://arxiv.org/abs/2503.15621,https://arxiv.org/pdf/2503.15621,README,12.0,"ready integration with HF (transformers/accelerate/datasets), PyTorch 2.2.2 + torchvision (CPU wheels), support for timm/einops/sentencepiece, utilities for pre-/post-processing (opencv-headless, pandas, pyarrow), you can import and run light tests on CPU.",src/llava/eval/run_llava.py (Primary); scripts/llava-more/release_1/12_finetuning_llama_31_acc_st_1.sh; scripts/llava-more/release_1/11_pretrain_llama_31_acc_st_1.sh; scripts/llava-more/eval/lmms_eval_single_task.sh,"PYTHONPATH=. python -u src/llava/eval/run_llava.py --model-path aimagelab/LLaVA_MORE-llama_3_1-8B-finetuning --model-architecture llama_3_1 --conv-mode llama_3_1 (source: README → “Inference”)
sbatch scripts/llava-more/release_1/12_finetuning_llama_31_acc_st_1.sh (source: README → “Training”)
sbatch scripts/llava-more/eval/lmms_eval_single_task.sh (source: README → “Evaluation”)",Optional HF token (HF_TOKEN) if using gated models,None fixed; evaluation may auto-download benchmarks via lmms-eval,Yes
VenusFactory,https://github.com/ai4protein/VenusFactory,https://arxiv.org/abs/2503.15438,https://arxiv.org/pdf/2503.15438,README,27.0,"Unified platform for protein engineering: fast dataset collection/curation, reproducible benchmarks and plug-and-play fine-tuning/inference of protein LM; there is a CLI and a simple web interface (Gradio); config-driven pipelines.","src/webui.py (Primary, Gradio UI); script/train/train_plm_vanilla.sh; script/train/train_plm_ses-adapter.sh; script/train/train_plm_adalora.sh; script/train/train_plm_qlora.sh; script/train/train_plm_lora.sh; script/train/train_plm_dora.sh; script/train/train_plm_ia3.sh; script/eval/eval.sh","python ./src/webui.py (source: README → “Quick Start with Venus Web UI”)
bash ./script/train/train_plm_lora.sh (source: README → “Code-line Usage” → LoRA)
bash ./script/eval/eval.sh (source: README → “Code-line Usage” → Basic Evaluation)",None (W&B optional for logging; HF token only for gated models),User-provided or auto-downloads from Hugging Face (multiple GB possible),Yes
SVD-LLM,https://github.com/AIoT-MLSys-Lab/SVD-LLM,https://arxiv.org/abs/2503.12340,https://arxiv.org/pdf/2503.12340,README with Quick Start,9.0,Truncation-aware data whitening + SVD; sequential low-rank updates (LoRA); integration with GPTQ-4bit; scripts for PPL/efficiency.,SVDLLM.py (Primary); compress_llama.sh; svdllm_gptq.sh; quant_llama.py; evaluater.py,"bash compress_llama.sh (source: README → “Quick Example”)
PYTHONPATH=. python SVDLLM.py --step 1 --ratio 0.2 --model HUGGINGFACE_MODEL_REPO --whitening_nsamples 128 --dataset c4 --seed 0 --model_seq_len 2048 --save_path out/whitening (source: README → “Step 1”)
PYTHONPATH=. python SVDLLM.py --step 4 --model_path out/compressed (source: README → “Evaluation → Perplexity”)
PYTHONPATH=. python SVDLLM.py --step 5 --model_path out/compressed (source: README → “Evaluation → Efficiency”)
bash svdllm_gptq.sh (source: README → “SVD-LLM + GPTQ”)",Hugging Face token only for gated model weights (otherwise none),"Whitening/eval use text corpora (e.g., c4 JSONs placed under utils/ per README); LoRA example auto-downloads yahma/alpaca-cleaned; models fetched from Hugging Face",Yes
DeTikZify,https://github.com/potamides/DeTikZify,https://arxiv.org/abs/2503.11509,https://arxiv.org/pdf/2503.11509,README,13.0,"There is a lightweight Gradio-WebUI with d&d/URL and preview, pure TikZ export to fig.tex and PDF/PNG assembly if TeX is available, Python API/CLI (DetikzifyPipeline), CPU/GPU operation with HF_HOME caching, PDF autocropping/preview and local/remote image support.",detikzify/webui.py (Primary; module runner detikzify.webui); examples/*.py,"PYTHONPATH=. python -m detikzify.webui --light (source: README → “web UI”)
PYTHONPATH=. python -c ""from detikzify.model import load; from detikzify.infer import DetikzifyPipeline; pipe=DetikzifyPipeline(*load(model_name_or_path='nllg/detikzify-v2.5-8b', device_map='auto')); fig=pipe.sample(image='https://w.wiki/A7Cc
'); print('tikz_len', len(str(fig.tikz)) if hasattr(fig,'tikz') else 'ok')"" (source: README → “DeTikZify Example”)",,None (operates on user images/URLs; caches models via Hugging Face),Yes
Falcon,https://github.com/TianHuiLab/Falcon,https://arxiv.org/abs/2503.11070,https://arxiv.org/pdf/2503.11070,README,20.0,"single-script inference launch (inference.py, single_gpu_inference_eval.py) for describing satellite images; there is a retrieval module for hints in answers; works with LLM via OpenAI-compatible API (you can substitute OpenAI/Qwen); demo assets; acceleration via flash-attn.",inference.py (Primary); single_gpu_inference_eval.py; multi_node_distributed_train.py,"python inference.py --checkpoint_path <checkpoint_path> --image_path image_samples/IMG_CLS/[IMG_CLS]_003_AID_3525_river_192_ori.png --post_process_type IMG_CLS --prompt ""Classify the image.\nUse one or a few words."" (source: README → “Inference on 14 tasks”)
python inference.py --checkpoint_path <checkpoint_path> --image_path image_samples/REG_DET_OBB/[REG_DET_OBB]_034_DOTA2.0_77716_P0799_ori.png --post_process_type REG_DET_OBB --prompt ""Detect all harbor in the image.\nUse oriented bounding boxes."" (source: README → “Inference on 14 tasks”)",Hugging Face token may be required for model checkpoints,None (sample images included under image_samples/; no fixed dataset),Yes
PyGDA,https://github.com/pygda-team/pygda,https://arxiv.org/abs/2503.10284,https://arxiv.org/pdf/2503.10284,README + docstrings,4.0,Library for Graph Domain Adaptation; includes AirportDataset; models include PairAlign; runs on CPU; uses PyTorch+PyG stack; supports CVXPY optimization via external solvers.,examples/.py (Primary),"PYTHONPATH=. python -c ""from pygda.models import A2GNN; print('A2GNN OK')"" (source: Docs “Quick Start”)
cd benchmark/node && ./run.sh (source: Docs “Benchmarks → Running the Benchmark”)",,User-provided/local datasets; benchmark scripts expect datasets to be present or prepared; no auto-download for many sets,Yes
Open-Sora,https://github.com/hpcaitech/Open-Sora,https://arxiv.org/abs/2503.09642,https://arxiv.org/pdf/2503.09642,README + docs,12.0,End-to-end text-to-video diffusion pipeline (training & inference); Colossal-AI integration for distributed/FP16 training; modular YAML configs with dataset & schedule presets; video I/O helpers (ffmpeg) and sampling scripts.,scripts/diffusion/inference.py (Primary),"torchrun --nproc_per_node 1 --standalone scripts/diffusion/inference.py configs/diffusion/inference/t2i2v_256px.py --save-dir samples --prompt ""raining, sea"" (source: README → Quickstart “Text-to-Video Generation”)
torchrun --nproc_per_node 1 --standalone scripts/diffusion/inference.py configs/diffusion/inference/256px.py --cond_type i2v_head --prompt ""A panda in the forest"" --ref assets/texts/i2v.png (source: README → Image-to-Video Generation)",Optional Hugging Face token for model downloads; optional OPENAI_API_KEY for prompt-refine/motion-score evaluator,None for inference (uses prompts and pretrained checkpoints); training requires large user-provided datasets,Yes
RFUAV,https://github.com/kitoweeknd/RFUAV/,https://arxiv.org/abs/2503.09033,https://arxiv.org/pdf/2503.09033,README,21.0,RF-IQ → spectrograms (STFT/Mel) with visualization; scripts for UAV detection/classification and metrics evaluation; modular train/infer configs and notebooks; PyTorch baseline + preprocessing/augmentation utilities.,main.py (Primary); scripts/ (train/infer/eval utilities),"PYTHONPATH=. python main.py --help (source: README)
PYTHONPATH=. python main.py --config configs/example.yaml --mode infer (source: README “inference” pattern)",,Requires prepared datasets with correct paths in configs; no auto-download,Yes
napari-nninteractive,https://github.com/MIC-DKFZ/napari-nninteractive,https://arxiv.org/abs/2503.08373,https://arxiv.org/pdf/2503.08373,README,21.0,"napari plugin for interactive segmentation with scribbles/brush and instant feedback; 2D/3D medical images support; nnUNetv2 and napari-toolkit integration; model loading/cache via HuggingFace Hub; NIfTI (napari-nifti) reading, modular plugin architecture.",napari (Primary; plugin widget “nnInteractive” via Plugins menu); napari -w napari-nninteractive (auto-start widget),"napari -w napari-nninteractive (source: README → “Getting Started”)
napari /path/to/volume.nii.gz -w napari-nninteractive (source: README → “Getting Started”)
napari (then Plugins → nnInteractive) (source: README → “Getting Started”)",None (models auto-download from Hugging Face; token not required unless using gated models),"User-provided medical images (e.g., NIfTI .nii/.nii.gz); no fixed dataset bundled",Yes
ImageFolde,https://github.com/lxa9867/ImageFolder,https://arxiv.org/abs/2503.08354,https://arxiv.org/pdf/2503.08354,README,21.0,utilities for reorganizing datasets to the torchvision.datasets.ImageFolder format; CLI for creating train/val/test splits and generating class_to_idx; support for copying/moving/symlinks and filtering by extensions; compatibility with DataLoader/torchvision pipelines; simple assistants for checking the structure of a dataset.,inference.py (Primary); train.py; trainer.py; sample_imagenet_rar.py,"torchrun --nproc_per_node=2 inference.py --infer_ckpt /path/to/checkpoint --data_path /path/to/ImageNet --depth 17 --encoder_model vit_base_patch14_dinov2.lvd142m --decoder_model vit_base_patch14_dinov2.lvd142m --product_quant 2 --semantic_guide dinov2 --num_latent_tokens 121 --v_patch_nums 1 1 2 3 3 4 5 6 8 11 --pn 1_1_2_3_3_4_5_6_8_11 --patch_size 11 --sem_half True --cfg 3.25 --top_k 750 --top_p 0.95 (source: README → “Inference code for VAR”)
torchrun --nproc_per_node=8 train.py --bs 768 --alng 1e-4 --fp16 1 --wpe 0.01 --tblr 8e-5 --data_path /path/to/ImageNet2012/ --encoder_model vit_base_patch14_dinov2.lvd142m --decoder_model vit_base_patch14_dinov2.lvd142m --product_quant 2 --semantic_guide dinov2 --num_latent_tokens 121 --v_patch_nums 1 1 2 3 3 4 5 6 8 11 --pn 1_1_2_3_3_4_5_6_8_11 --patch_size 11 --vae_ckpt /path/to/ckpt.pt --sem_half True (source: README → “Training code for VAR”)",Optional Hugging Face token for gated checkpoints,"User-provided datasets (e.g., ImageNet); inference evaluation optionally downloads OpenAI VIRTUAL_imagenet npz",Yes
YOLOE,https://github.com/THU-MIG/yoloe,https://arxiv.org/abs/2503.07465,https://arxiv.org/pdf/2503.07465,README,4.0,"YOLO stack based on Ultralytics; integration of CLIP / MobileCLIP / OpenCLIP as backbones; support for COCO/LVIS with ready-made train/eval scripts and config drive; third_party modules (lvis-api, mobileclip, CLIP) are connected from the repository; utilities for inference, visualization and metrics calculation.",main.py (Primary),"PYTHONPATH=. python main.py --help (source: README)
PYTHONPATH=. python main.py --config configs/coco/yoloe_s.yaml --task train (source: README usage pattern)
PYTHONPATH=. python main.py --config configs/lvis/yoloe_lvis.yaml --task val (source: README usage pattern)",,Local COCO/LVIS datasets with correct paths in configs (no auto-download),Yes
InsightFace,https://github.com/deepinsight/insightface,https://arxiv.org/abs/2503.07091,https://arxiv.org/pdf/2503.07091,README,26.0,"a full-featured face analysis stack — detection (RetinaFace), verification/recognition (ArcFace), landmarks/pose/3D and attributes; two backends (PyTorch and ONNXRuntime, CPU-compatible); a large zoo of pre-trained weights and sample scripts/pipelines; convenient Python APIs for inference and export.",insightface; python-package/examples/,"PYTHONPATH=python-package python -c ""import insightface; from insightface.app import FaceAnalysis; app=FaceAnalysis(providers=['CPUExecutionProvider']); app.prepare(ctx_id=0, det_size=(640,640)); print('FaceAnalysis OK:', bool(app.models))"" (source: README Quick Start import and example pattern)",,Downloads pretrained weights on first use; user-provided images/videos required for demos,Yes
K-Radar,https://github.com/kaist-avelab/K-Radar,https://arxiv.org/abs/2503.07029,https://arxiv.org/pdf/2503.07029,README,11.0,"tools for 4D radar dataset (annotation parsing, converters), calibration and mutual projections radar↔camera↔LiDAR, visualization scripts (Open3D/Qt) and evaluations, convenient helpers for synchronizing sensors and preparing samples.",main_train_0.py; main_test_0.py; main_vis.py; main_labeling.py; main_cond_0.py ,"PYTHONPATH=. python main_vis.py --help (source: repo root script)
PYTHONPATH=. python main_train_0.py --config configs/example.yaml --data_root /path/to/K-Radar (source: repo root script + configs/ directory; dataset docs)",,"Requires K-Radar dataset (large, up to ~15TB; subset via Google Drive or shipped HDD per docs); user must set data paths",Yes
AtomThink,https://github.com/Kun-Xiang/AtomThink,https://arxiv.org/abs/2503.06252,https://arxiv.org/pdf/2503.06252,README,19.0,research toolkit for reasoning/LLM pipelines; ready-made train/infer scripts and config-drive (accelerate/DeepSpeed); integration with Hugging Face (hub/weights) and OpenAI API; vision stack via timm/mmcv + preprocessing/estimation utilities; reproducible environments via hard pins.,src/train.py; src/llamafactory/evaluation/run_evaluation_parallel.py,"pip install -r requirements.txt && python -c ""import os; os.environ.setdefault('OPENAI_API_KEY','sk-xxx')"" && torchrun --nproc_per_node 8 --master_addr $master_addr --nnodes $nnode --node_rank $node_rank --master_port $port src/train.py configs/train_full/llama32-11b-vision/llava100k_amath126k_clean_epoch1_2e6.yaml (source: README Quick Start → Start training)
python src/llamafactory/evaluation/run_evaluation_parallel.py --node_rank $node_rank --total_gpus $total_gpus --nproc_per_node 8 --temperature 0.0 --tasks_per_gpu 1 --config ""configs/train_full/llama32-11b-vision/llava100k_amath126k_clean_epoch1_2e6.yaml"" --task MathVision --prompt slow --method slow --atomthink_beam_search_num 2 --candidate_num 3 --max_sampling_count 300 (source: README Quick Start → Start evaluating)",OpenAI API key,Uses AMATH-SFT and other multimodal data via Hugging Face; large model checkpoints required; user must set paths,Yes
Linear-MoE,https://github.com/OpenSparseLLMs/Linear-MoE,https://arxiv.org/abs/2503.05447,https://arxiv.org/pdf/2503.05447,README,23.0,Linearized Mixture-of-Experts for sparse LLMs; PyTorch + Hugging Face (transformers/accelerate); config-drive training/inference scripts; custom CUDA core grouped_gemm for fast routing of experts.,examples/linear_moe_qwen2/run_pretrain_qwen.sh; examples/linear_moe_qwen2/run_finetune_qwen.sh,"bash examples/linear_moe_qwen2/run_pretrain_qwen.sh (source: README Usage → “Start pretraining by sh run_pretrain_qwen.sh”)
bash examples/linear_moe_qwen2/run_finetune_qwen.sh (source: README Usage → “Start finetuning by sh run_finetune_qwen.sh”)",,"Requires large text datasets (e.g., Qwen-formatted) and base checkpoints; user must set DATASET_PATH and PRETRAIN_CHECKPOINT_PATH in scripts",Yes
Slow_Thinking_with_LLMs,https://github.com/RUCAIBox/Slow_Thinking_with_LLMs,https://arxiv.org/abs/2503.04548,https://arxiv.org/pdf/2503.04548,README,22.0,RL slow-thinking (STILL-3); code-integrated/tool-augmented reasoning; HF datasets/models + GRPO training scripts.,scripts/train_still3.sh; scripts/eval_still3.sh; src/train.py; src/evaluate.py,"accelerate launch src/train.py --config configs/still3_train.yaml (source: README training pattern)
python src/evaluate.py --config configs/still3_eval.yaml (source: README evaluation pattern)","OpenAI API key (for specific tool-augmented pipelines, optional if using only HF models)",Uses Hugging Face datasets and model checkpoints; downloads occur on first run; user must set local paths if needed,Yes
PaddleMIX,https://github.com/PaddlePaddle/PaddleMIX,https://arxiv.org/abs/2503.04065,https://arxiv.org/pdf/2503.04065,README + tutorials,15.0,"Multimodal model-zoo (Qwen2/2.5-VL, InternVL2, LLaVA, SD3/SDXL/ControlNet); end-to-end training & inference pipelines (ppdiffusers); tooling: DataCopilot, PP-DocBee, PP-VCtrl.","examples/ folder scripts per model (e.g., examples/internvl2/run_infer_internvl2.py); cli/paddlemix_infer.py","python cli/paddlemix_infer.py --help (source: README → inference guide)
python examples/internvl2/run_infer_internvl2.py --model_name_or_path Qwen/Qwen2-VL-7B-Instruct --image_path demo.jpg --device cpu (source: examples/tutorials)",,Pretrained checkpoints auto-downloaded from PaddleHub or Hugging Face; optional datasets needed for training,Yes
Parlant,https://github.com/emcie-co/parlant/tree/arqs-a-systematic-method-for-optimizing-instruction-following-in-llms,https://arxiv.org/abs/2503.03669,https://arxiv.org/pdf/2503.03669,README,43.0,"ARQs for improved instruction following, modular architecture with MCP/OpenAPI tools, LLM via OpenAI with streaming, local vector DBs (ChromaDB, nano-vectordb), observability (OpenTelemetry/structlog), FastAPI+uvicorn/CLI, scheduling (croniter), pydantic-settings, S3/K8s/PostHog integrations, optional onnxruntime.",initialize_repo.py; scripts/analyze_results; package import: src/parlant,"pytest --no-cache (source: branch README)
pytest --no-cache --count=3 (requires pytest-repeat) (source: branch README)
python -m scripts.analyze_results parlant_test_results.jsonl (source: branch README mention of analyze_results)","OpenAI API key (core); optional: PostHog, S3, K8s, MCP/OpenAPI tool configs",No fixed dataset; uses prompts/tests; downloads only for optional integrations,Yes
LiteWebAgent,https://github.com/PathOnAIOrg/LiteWebAgent,https://arxiv.org/abs/2503.02950,https://arxiv.org/pdf/2503.02950,README,23.0,"Playwright agent with LLM (LiteLLM/OpenAI); LlamaIndex/Chroma integrations; multimodality (screenshots/image processing, STT via Deepgram); FastAPI service and demo scenarios; action scoring and logging; offline embeddings via HF.",function_calling_main.py; module: prompting_main; examples/google_test.py; load_state.py; module: api.server,"python test_installation.py (source: README → QuickStart)
python examples/google_test.py (source: README → QuickStart)
python -m prompting_main --agent_type PromptAgent --starting_url https://www.google.com
 --goal ""search dining table"" --plan ""search dining table"" --log_folder log (source: README → Development: try different agents)
python -m function_calling_main --agent_type FunctionCallingAgent --starting_url https://www.amazon.com/
 --goal ""add a bag of dog food to the cart."" --plan ""add a bag of dog food to the cart."" --log_folder log (source: README → Development: function-calling agent)
python -m api.server --port 5001 (source: README → Use LiteWebAgent AI backend)","OpenAI API key (required); optional: Deepgram, HF tokens for models/embeddings",No fixed dataset; downloads browser and optional model assets; user-provided URLs/tasks,Yes
EAGLE,https://github.com/SafeAILab/EAGLE,https://arxiv.org/abs/2503.01840,https://arxiv.org/pdf/2503.01840,README,21.0,A security-oriented framework for LLM assessment/enhancement; ready-made red-teaming scenarios and test suites; a single backend to OpenAI/Anthropic and local models via Transformers; web UI on Gradio; configs for reproducible pipelines; logging in W&B; modular plugin architecture.,eagle.application.webui; eagle/traineagle3/main.py; eagle/evaluation/gen_ea_answer_llama3chat.py; eagle/evaluation/gen_baseline_answer_llama3chat.py,"python -m eagle.application.webui --ea-model-path yuhuili/EAGLE3-LLaMA3.1-Instruct-8B --base-model-path meta-llama/Llama-3.1-8B-Instruct --model-type llama3 --total-token -1 (source: README Inference → With UI)
cd eagle/traineagle3 && deepspeed main.py --deepspeed_config ds_config.json (source: README Train)
python -m eagle.evaluation.gen_ea_answer_llama3chat --ea-model-path yuhuili/EAGLE3-LLaMA3.1-Instruct-8B --base-model-path meta-llama/Llama-3.1-8B-Instruct --use_eagle3 (source: README Evaluation)
python -m eagle.evaluation.gen_baseline_answer_llama3chat --ea-model-path yuhuili/EAGLE3-LLaMA3.1-Instruct-8B --base-model-path meta-llama/Llama-3.1-8B-Instruct (source: README Evaluation)",Hugging Face access token for downloads (optional); optional Weights & Biases API key,No fixed dataset; downloads pretrained checkpoints; MT-bench and model assets fetched on first run,Yes
Marco-o1,https://github.com/AIDC-AI/Marco-o1,https://arxiv.org/abs/2503.01461,https://arxiv.org/pdf/2503.01461,README,19.0,"two inference modes (via Transformers locally and via vLLM server), ready-made scripts/clients for chat and launch (src/main.py, src/infer/talk_with_model*.py, examples/*), modular tree-search pipeline (evaluator/utils) and lightweight HTTP endpoint.",src/main.py; src/infer/talk_with_model.py; src/infer/talk_with_model_vllm.py; src/infer/http_server.py,"python src/infer/talk_with_model.py --model_path AIDC-AI/Marco-o1 --prompt ""Hello"" (source: README local Transformers mode)
python -m vllm.entrypoints.api_server --model AIDC-AI/Marco-o1 --host 0.0.0.0 --port 8000 ; python src/infer/talk_with_model_vllm.py --api_base http://127.0.0.1:8000
 --prompt ""Hello"" (source: README vLLM mode)",Optional Hugging Face token for model downloads,No fixed dataset; large model checkpoints downloaded on first run,Yes
